Threshold (%),Total Observations,Confirmed IR (Count),Confirmed IR (Proportion),Ambiguous IR (Count),Ambiguous IR (Proportion),Confirmed DR (Count),Confirmed DR (Proportion),Ambiguous DR (Count),Ambiguous DR (Proportion),Confirmed both (Count),Confirmed both (Proportion),No candidates found (Count),No candidates found (Proportion)
0,68,23,0.3382352941176471,22.0,0.3235294117647059,14,0.20588235294117646,8.0,0.11764705882352941,1,0.014705882352941176,0.0,0.0
10,68,26,0.38235294117647056,17.0,0.25,17,0.25,7.0,0.10294117647058823,1,0.014705882352941176,0.0,0.0
20,68,32,0.47058823529411764,13.0,0.19117647058823528,18,0.2647058823529412,4.0,0.058823529411764705,1,0.014705882352941176,0.0,0.0
30,68,35,0.5147058823529411,8.0,0.11764705882352941,19,0.27941176470588236,5.0,0.07352941176470588,1,0.014705882352941176,0.0,0.0
40,68,34,0.5,8.0,0.11764705882352941,22,0.3235294117647059,3.0,0.04411764705882353,1,0.014705882352941176,0.0,0.0
50,68,38,0.5588235294117647,6.0,0.08823529411764706,21,0.3088235294117647,1.0,0.014705882352941176,2,0.029411764705882353,0.0,0.0
60,68,36,0.5294117647058824,4.0,0.058823529411764705,23,0.3382352941176471,1.0,0.014705882352941176,4,0.058823529411764705,0.0,0.0
70,68,39,0.5735294117647058,3.0,0.04411764705882353,22,0.3235294117647059,1.0,0.014705882352941176,3,0.04411764705882353,0.0,0.0
80,68,39,0.5735294117647058,0.0,0.0,24,0.35294117647058826,1.0,0.014705882352941176,3,0.04411764705882353,1.0,0.014705882352941176
90,68,35,0.5147058823529411,0.0,0.0,25,0.36764705882352944,0.0,0.0,2,0.029411764705882353,6.0,0.08823529411764706
