Threshold (%),Total Observations,Strong agree,Weak agree,Strong disagree,Weak disagree
0,68,0.6617647058823529,0.23529411764705882,0.07352941176470588,0.029411764705882353
10,68,0.6764705882352942,0.22058823529411764,0.07352941176470588,0.029411764705882353
20,68,0.6617647058823529,0.23529411764705882,0.058823529411764705,0.04411764705882353
30,68,0.7205882352941176,0.20588235294117646,0.029411764705882353,0.04411764705882353
40,68,0.7352941176470589,0.17647058823529413,0.029411764705882353,0.058823529411764705
50,68,0.6911764705882353,0.17647058823529413,0.07352941176470588,0.058823529411764705
60,68,0.6911764705882353,0.16176470588235295,0.058823529411764705,0.08823529411764706
70,68,0.6470588235294118,0.17647058823529413,0.07352941176470588,0.10294117647058823
80,68,0.6617647058823529,0.23529411764705882,0.04411764705882353,0.058823529411764705
90,68,0.5735294117647058,0.2647058823529412,0.04411764705882353,0.11764705882352941
