Threshold (%),Total Observations,Confirmed IR (Count),Confirmed IR (Proportion),Ambiguous IR (Count),Ambiguous IR (Proportion),Confirmed DR (Count),Confirmed DR (Proportion),Ambiguous DR (Count),Ambiguous DR (Proportion),No candidates found (Count),No candidates found (Proportion)
0,68,23,0.3382352941176471,22.0,0.3235294117647059,15,0.22058823529411764,8.0,0.11764705882352941,0.0,0.0
10,68,26,0.38235294117647056,17.0,0.25,18,0.2647058823529412,7.0,0.10294117647058823,0.0,0.0
20,68,32,0.47058823529411764,13.0,0.19117647058823528,19,0.27941176470588236,4.0,0.058823529411764705,0.0,0.0
30,68,35,0.5147058823529411,8.0,0.11764705882352941,20,0.29411764705882354,5.0,0.07352941176470588,0.0,0.0
40,68,34,0.5,8.0,0.11764705882352941,23,0.3382352941176471,3.0,0.04411764705882353,0.0,0.0
50,68,39,0.5735294117647058,6.0,0.08823529411764706,22,0.3235294117647059,1.0,0.014705882352941176,0.0,0.0
60,68,36,0.5294117647058824,4.0,0.058823529411764705,27,0.39705882352941174,1.0,0.014705882352941176,0.0,0.0
70,68,39,0.5735294117647058,3.0,0.04411764705882353,25,0.36764705882352944,1.0,0.014705882352941176,0.0,0.0
80,68,39,0.5735294117647058,0.0,0.0,27,0.39705882352941174,1.0,0.014705882352941176,1.0,0.014705882352941176
90,68,35,0.5147058823529411,0.0,0.0,27,0.39705882352941174,0.0,0.0,6.0,0.08823529411764706
