ProspectivePattern,Family,UniProtID,Filepath,Note,SpeciesProtein
IR,CRP,P0A4U6,CollecTF_FASTA/FNR_CRP/Nostoc_sp__PCC_7120/TF_NtcA_P0A4U6.fas,,Nostoc_sp__PCC_7120
IR,CRP,P0A9E5,CollecTF_FASTA/FNR_CRP/Escherichia_coli_str__K-12_substr__MG1655/TF_FNR_P0A9E5.fas,,Escherichia_coli_str__K-12_substr__MG1655
IR,CRP,P0ACJ8,CollecTF_FASTA/FNR_CRP/Escherichia_coli_str__K-12_substr__MG1655/OLD/TF_CRP_P0ACJ8.fas,,Escherichia_coli_str__K-12_substr__MG1655
IR,CRP,P0ACJ8,CollecTF_FASTA/FNR_CRP/Escherichia_coli_str__K-12_substr__MG1655/TF_CRP_P0ACJ8.fas,,Escherichia_coli_str__K-12_substr__MG1655
IR,CRP,P74171,CollecTF_FASTA/FNR_CRP/Synechocystis_sp__PCC_6803/TF_CRP_P74171.fas,,Synechocystis_sp__PCC_6803
IR,CRP,Q4UZF6,CollecTF_FASTA/FNR_CRP/Xanthomonas_campestris_pv__campestris_str__8004/TF_Clp_Q4UZF6.fas,,Xanthomonas_campestris_pv__campestris_str__8004
IR,CRP,Q4UZF6,CollecTF_FASTA/FNR_CRP/Xanthomonas_campestris_pv__campestris_str__ATCC_33913/TF_Clp_Q4UZF6.fas,,Xanthomonas_campestris_pv__campestris_str__ATCC_33913
IR,CRP,Q79VI7,CollecTF_FASTA/FNR_CRP/Corynebacterium_glutamicum_ATCC_13032/TF_GlxR_Q79VI7.fas,,Corynebacterium_glutamicum_ATCC_13032
IR,CRP,Q79VI7,CollecTF_FASTA/FNR_CRP/Corynebacterium_glutamicum_R/TF_GlxR_Q79VI7.fas,,Corynebacterium_glutamicum_R
IR,CRP,Q7CFV3,CollecTF_FASTA/FNR_CRP/Yersinia_pestis_CO92/TF_CRP_Q7CFV3.fas,,Yersinia_pestis_CO92
IR,CRP,Q7CFV3,CollecTF_FASTA/FNR_CRP/Yersinia_pestis_biovar_Microtus_str__91001/TF_CRP_Q7CFV3.fas,,Yersinia_pestis_biovar_Microtus_str__91001
IR,CRP,Q7M7I9,CollecTF_FASTA/FNR_CRP/Vibrio_vulnificus_CMCP6/TF_CRP_Q7M7I9.fas,,Vibrio_vulnificus_CMCP6
IR,CRP,Q7M7I9,CollecTF_FASTA/FNR_CRP/Vibrio_vulnificus_MO6-24_O/TF_CRP_Q7M7I9.fas,,Vibrio_vulnificus_MO6-24_O
IR,CRP,Q7M7I9,CollecTF_FASTA/FNR_CRP/Vibrio_vulnificus_YJ016/TF_CRP_Q7M7I9.fas,,Vibrio_vulnificus_YJ016
IR,CRP,Q88F34,CollecTF_FASTA/FNR_CRP/Pseudomonas_putida_KT2440/TF_Anr_Q88F34.fas,,Pseudomonas_putida_KT2440
IR,CRP,Q9KNW6,CollecTF_FASTA/FNR_CRP/Vibrio_cholerae_O1_biovar_El_Tor_str__N16961/TF_CRP_Q9KNW6.fas,,Vibrio_cholerae_O1_biovar_El_Tor_str__N16961
IR,LexA,A0A072Z841,CollecTF_FASTA/LexA/Corynebacterium_glutamicum_ATCC_13032/TF_LexA_A0A072Z841.fas,,Corynebacterium_glutamicum_ATCC_13032
IR,LexA,A0L9E2,CollecTF_FASTA/LexA/Magnetococcus_marinus_MC-1/TF_LexA_A0L9E2.fas,(2 seq),Magnetococcus_marinus_MC-1
IR,LexA,A0QVY5,CollecTF_FASTA/LexA/Mycobacterium_leprae_TN/TF_LexA_A0QVY5.fas,(1 seq),Mycobacterium_leprae_TN
IR,LexA,A0QVY5,CollecTF_FASTA/LexA/Mycobacterium_smegmatis_str__MC2_155/TF_LexA_A0QVY5.fas,(1 seq),Mycobacterium_smegmatis_str__MC2_155
IR,LexA,A0QVY5,CollecTF_FASTA/LexA/Mycobacterium_tuberculosis_H37Rv/TF_LexA_A0QVY5.fas,(1 seq),Mycobacterium_tuberculosis_H37Rv
DR,LexA,A1B3Z0,CollecTF_FASTA/LexA/Paracoccus_denitrificans_PD1222/TF_LexA_A1B3Z0.fas,(2 seq),Paracoccus_denitrificans_PD1222
DR,LexA,C1F978,CollecTF_FASTA/LexA/Acidobacterium_capsulatum_ATCC_51196/TF_LexA_C1F978.fas,(2 seq),Acidobacterium_capsulatum_ATCC_51196
DR,LexA,C1F978,CollecTF_FASTA/LexA/Rhodobacter_sphaeroides_2_4_1/TF_LexA_C1F978.fas,(2 seq),Rhodobacter_sphaeroides_2_4_1
DR,LexA,D5ALN0,CollecTF_FASTA/LexA/Rhodobacter_capsulatus_SB_1003/TF_LexA_D5ALN0.fas,,Rhodobacter_capsulatus_SB_1003
IR,LexA,I6Y1J7,CollecTF_FASTA/LexA/Mycobacterium_tuberculosis_H37Rv/TF_LexA_I6Y1J7.fas,,Mycobacterium_tuberculosis_H37Rv
IR,LexA,P0A153,CollecTF_FASTA/LexA/Pseudomonas_putida_KT2440/TF_LexA_P0A153.fas,,Pseudomonas_putida_KT2440
IR,LexA,P0A7C2,CollecTF_FASTA/LexA/Escherichia_coli/TF_LexA_P0A7C2.fas,[Escherichia coli str. K-12 substr. MG1655],Escherichia_coli
